source_kind,token_family,meaning,pilot_criticality,downstream_owner,semantic_risk,notes
LST entry tokens,FACT / MOVE / TEMPLATE / KEYSTAT,"Carries structural metadata for race identity, movement, template application, and primary skill ability association.",supporting,GE-02 object metadata model + GE-03 parser,medium,Grounded in human_races.lst line 6 and cr_skills.lst lines 7 and 10.
LST entry tokens,STARTFEATS,Declares starting feat entitlement embedded on a race or similar declaration.,critical,GE-02 race/character-creation model + GE-04 engine,medium,Grounded in human_races.lst line 6 for Human STARTFEATS:1.
LST entry tokens,RACETYPE,Declares the main race category used for race identity and grouping semantics.,supporting,GE-02 race typing model + GE-03 parser,medium,Grounded in human_races.lst line 6 for RACETYPE:Humanoid.
LST entry tokens,LEGS / HANDS,Carries anatomy counts that may matter for body-model and equipment assumptions.,supporting,GE-02 body/anatomy model + later equipment rules,medium,Grounded in human_races.lst line 6 for LEGS:2 and HANDS:2.
LST entry tokens,CHOOSE,Declares a user-selectable choice space such as one weapon proficiency from a catalog subset.,critical,GE-02 choice model + GE-03 parser + GE-04 engine,high,Grounded in cr_feats.lst line 120 for Martial Weapon Proficiency CHOOSE:WEAPONPROFICIENCY|!PC[TYPE=Martial].
LST entry tokens,MULT,Marks a feat or ability as repeatable/multi-takable rather than singleton.,supporting,GE-02 choice/ownership model + GE-04 engine,medium,Grounded in cr_feats.lst line 120 for Martial Weapon Proficiency MULT:YES.
LST entry tokens,KEYSTAT,Binds a skill or stat-like object to its governing ability score/stat key.,critical,GE-02 skill/stat model + GE-03 parser,medium,Grounded in cr_skills.lst lines 7-10 and 40-45.
LST entry tokens,STARTSKILLPTS,Declares class skill point budget or variable reference for class-level skill rank allocation.,critical,GE-02 class/character-creation model + GE-04 engine,high,Grounded in cr_classes.lst line 141 for Fighter STARTSKILLPTS:FighterSkillPoints.
LST entry tokens,STATMOD / MODIFY,Defines ability score modifier formula and state mutation/derived variable bindings for base stats.,critical,GE-02 stat/formula model + GE-04 engine,high,Grounded in cr__stats.lst lines 3-9; docs also cite STATMOD examples in gamemodestatsandcheckslist.html lines 500-562.
LST entry tokens,PREVARGTEQ / PREVAREQ / PREFACT,"Predicate gates that condition whether class features, traits, grants, or replacements apply.",critical,GE-02 predicate model + GE-03 parser + GE-04 engine,high,Grounded in Fighter class feature grants at cr_abilities_class.lst lines 236-262 and Human replacement gates at human_abilities_globalvar.lst lines 10-24.
LST entry tokens,ABILITYPOOL,Allocates selectable pools such as Human bonus feat or ability-score choice.,critical,GE-02 choice/pool model + GE-04 engine,high,Grounded in human_abilities_race.lst lines 18 and 21.
LST entry tokens,PROFICIENCY:ARMOR / PROFICIENCY:SHIELD,Links equipment entries to required armor or shield proficiency catalog members.,critical,GE-02 equipment/proficiency reference model + GE-03 parser,medium,Grounded in cr_equip_arms_armor.lst lines 37-48 and 109-114.
