artifact_kind,source_path,evidence_status,pilot_role,object_classes,include_edges,notes
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_classes.lst,grounded: core_rulebook.pcc line 63,pilot-critical,CLASS,core_rulebook.pcc -> cr_classes.lst,CLASS declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_deities.lst,grounded: core_rulebook.pcc line 64,adjacent-candidate,DEITY,core_rulebook.pcc -> cr_deities.lst,DEITY declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_domains.lst,grounded: core_rulebook.pcc line 65,adjacent-candidate,DOMAIN,core_rulebook.pcc -> cr_domains.lst,DOMAIN declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_equip_arms_armor.lst,grounded: core_rulebook.pcc line 66,pilot-critical,EQUIPMENT,core_rulebook.pcc -> cr_equip_arms_armor.lst,EQUIPMENT declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_equip_general.lst,grounded: core_rulebook.pcc line 67,supporting,EQUIPMENT,core_rulebook.pcc -> cr_equip_general.lst,EQUIPMENT declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_equip_magic_items.lst,grounded: core_rulebook.pcc line 68,adjacent,EQUIPMENT,core_rulebook.pcc -> cr_equip_magic_items.lst,EQUIPMENT declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_equipmods.lst,grounded: core_rulebook.pcc line 69,adjacent-candidate,EQUIPMOD,core_rulebook.pcc -> cr_equipmods.lst,EQUIPMOD declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_feats.lst,grounded: core_rulebook.pcc line 70,pilot-critical,ABILITY,core_rulebook.pcc -> cr_feats.lst,ABILITY declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_kits.lst,grounded: core_rulebook.pcc line 71,adjacent-candidate,KIT,core_rulebook.pcc -> cr_kits.lst,KIT declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_languages.lst,grounded: core_rulebook.pcc line 72,adjacent-candidate,LANGUAGE,core_rulebook.pcc -> cr_languages.lst,LANGUAGE declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_races.lst,grounded: core_rulebook.pcc line 73,required-candidate,RACE,core_rulebook.pcc -> cr_races.lst,RACE declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_skills.lst,grounded: core_rulebook.pcc line 74,pilot-critical,SKILL,core_rulebook.pcc -> cr_skills.lst,SKILL declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_spells.lst,grounded: core_rulebook.pcc line 75,adjacent-candidate,SPELL,core_rulebook.pcc -> cr_spells.lst,SPELL declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_templates.lst,grounded: core_rulebook.pcc line 76,adjacent-candidate,TEMPLATE,core_rulebook.pcc -> cr_templates.lst,TEMPLATE declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_profs_armor.lst,grounded: core_rulebook.pcc line 78,pilot-critical,ARMORPROF,core_rulebook.pcc -> cr_profs_armor.lst,ARMORPROF declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_profs_shield.lst,grounded: core_rulebook.pcc line 79,pilot-critical,SHIELDPROF,core_rulebook.pcc -> cr_profs_shield.lst,SHIELDPROF declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_profs_weapon.lst,grounded: core_rulebook.pcc line 80,pilot-critical,WEAPONPROF,core_rulebook.pcc -> cr_profs_weapon.lst,WEAPONPROF declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_abilities_companion.lst,grounded: core_rulebook.pcc line 84,adjacent,ABILITY,core_rulebook.pcc -> cr_abilities_companion.lst,ABILITY declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_classes_companion.lst,grounded: core_rulebook.pcc line 85,adjacent,CLASS,core_rulebook.pcc -> cr_classes_companion.lst,CLASS declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_companionmods.lst,grounded: core_rulebook.pcc line 86,adjacent-candidate,COMPANIONMOD,core_rulebook.pcc -> cr_companionmods.lst,COMPANIONMOD declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_kits_companion.lst,grounded: core_rulebook.pcc line 87,adjacent-candidate,KIT,core_rulebook.pcc -> cr_kits_companion.lst,KIT declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_races_companion.lst,grounded: core_rulebook.pcc line 88,adjacent,RACE,core_rulebook.pcc -> cr_races_companion.lst,RACE declaration file referenced directly from campaign root.
pcc_include,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/dwarf/_race.pcc,grounded: core_rulebook.pcc line 90,supporting-candidate,PCC include,core_rulebook.pcc -> _race.pcc,Referenced via PCC include token @\pathfinder\paizo\roleplaying_game\core_essentials\races\dwarf\_race.pcc
pcc_include,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/elf/_race.pcc,grounded: core_rulebook.pcc line 91,supporting-candidate,PCC include,core_rulebook.pcc -> _race.pcc,Referenced via PCC include token @\pathfinder\paizo\roleplaying_game\core_essentials\races\elf\_race.pcc
pcc_include,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/gnome/_race.pcc,grounded: core_rulebook.pcc line 92,supporting-candidate,PCC include,core_rulebook.pcc -> _race.pcc,Referenced via PCC include token @\pathfinder\paizo\roleplaying_game\core_essentials\races\gnome\_race.pcc
pcc_include,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/half_elf/_race.pcc,grounded: core_rulebook.pcc line 93,supporting-candidate,PCC include,core_rulebook.pcc -> _race.pcc,Referenced via PCC include token @\pathfinder\paizo\roleplaying_game\core_essentials\races\half_elf\_race.pcc
pcc_include,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/half_orc/_race.pcc,grounded: core_rulebook.pcc line 94,supporting-candidate,PCC include,core_rulebook.pcc -> _race.pcc,Referenced via PCC include token @\pathfinder\paizo\roleplaying_game\core_essentials\races\half_orc\_race.pcc
pcc_include,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/halfling/_race.pcc,grounded: core_rulebook.pcc line 95,supporting-candidate,PCC include,core_rulebook.pcc -> _race.pcc,Referenced via PCC include token @\pathfinder\paizo\roleplaying_game\core_essentials\races\halfling\_race.pcc
pcc_include,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/_race.pcc,grounded: core_rulebook.pcc line 96,pilot-critical,PCC include,core_rulebook.pcc -> _race.pcc,Direct Human race PCC package under the Core Rulebook pilot path; loads the human-specific race files used by the documentary slice.
pcc_root,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/_race.pcc,grounded:file exists; _race.pcc lines 16-24 enumerate Human race files,pilot-critical,PCC race subpackage,_race.pcc -> human_*.lst,Direct Human race PCC package under the Core Rulebook pilot path; loads the human-specific race files used by the documentary slice.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human__datacontrols.lst,grounded: _race.pcc line 16,supporting-candidate,DATACONTROL,_race.pcc -> human__datacontrols.lst,Human race subtree file referenced directly from _race.pcc.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_abilities_globalvar.lst,grounded: _race.pcc line 19,pilot-critical,ABILITY,_race.pcc -> human_abilities_globalvar.lst,Human race subtree file referenced directly from _race.pcc.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_abilities_race.lst,grounded: _race.pcc line 20,pilot-critical,ABILITY,_race.pcc -> human_abilities_race.lst,Human race subtree file referenced directly from _race.pcc.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_abilitycategories.lst,grounded: _race.pcc line 21,supporting-candidate,ABILITYCATEGORY,_race.pcc -> human_abilitycategories.lst,Human race subtree file referenced directly from _race.pcc.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_biosettings.lst,grounded: _race.pcc line 22,adjacent-candidate,BIOSET,_race.pcc -> human_biosettings.lst,Human race subtree file referenced directly from _race.pcc.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_races.lst,grounded: _race.pcc line 23,pilot-critical,RACE,_race.pcc -> human_races.lst,Human race subtree file referenced directly from _race.pcc.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_templates.lst,grounded: _race.pcc line 24,supporting,TEMPLATE,_race.pcc -> human_templates.lst,Human race subtree file referenced directly from _race.pcc.
entity_entry,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_races.lst#Human,grounded: human_races.lst line 6,pilot-critical,RACE entry; race trait link; anatomy/movement metadata,human/_race.pcc -> human_races.lst,"Pilot Human race entity with STARTFEATS, FACT, MOVE, ABILITY carrier, RACETYPE, TYPE, TEMPLATE, and IsPC markers."
entity_entry,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_classes.lst#Fighter,grounded: cr_classes.lst lines 139-143,pilot-critical,CLASS entry; progression/formula carrier,core_rulebook.pcc -> cr_classes.lst,"Pilot Fighter class entity carrying BAB/save formulas, class-skill linkage, and primary class identity."
entity_entry,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_abilities_class.lst#Weapon and Armor Proficiency ~ Fighter,grounded: cr_abilities_class.lst lines 236-242,pilot-critical,ABILITY grant surface; class-feature gate bundle,core_rulebook.pcc -> cr_abilities_class.lst,Pilot Fighter proficiency grant block with archetype guards and automatic weapon/armor/shield grants.
entity_entry,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_abilities_race.lst#Human-racial-traits,grounded: cr_abilities_race.lst lines 134-139,supporting,ABILITY modifier rows; source-page/category normalization,core_rulebook.pcc -> cr_abilities_race.lst,"Core Rulebook-side modifier rows for Human trait ability objects; supporting metadata surface, not the primary Human trait definition file."
feat_surface,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_feats.lst#proficiency-grant-feats,"grounded: cr_feats.lst lines 19-21, 120, 150, 155, 175",pilot-critical,FEAT entries; AUTO/PREMULT/CHOOSE semantics,core_rulebook.pcc -> cr_feats.lst,"Feat-mediated proficiency grant surface for armor, shields, simple weapons, martial weapons, and tower shields."
entity_entry,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_abilities_class.lst#Class Skills ~ Fighter,grounded: cr_abilities_class.lst line 2835,pilot-critical,Internal ability; CSKILL class-skill set,core_rulebook.pcc -> cr_abilities_class.lst,"Fighter class-skill carrier enumerates Climb, Craft, Handle Animal, Intimidate, Knowledge Dungeoneering/Engineering, Profession, Ride, Survival, and Swim."
entity_entry,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_skills.lst#core-skill-schema,grounded: cr_skills.lst lines 6-10 and 40-45,pilot-critical,SKILL entries; KEYSTAT; ACHECK; TYPE; class-skill bonus predicates,core_rulebook.pcc -> cr_skills.lst,Skill schema and representative Fighter class skills are grounded here; Climb is especially pilot-relevant because Fighter grants it as a class skill.
entity_entry,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr__stats.lst#six-base-stats,grounded: cr__stats.lst lines 3-9,pilot-critical,STAT entries; STATMOD; derived score/mod variables; combat/skill/stat dependencies,core_rulebook.pcc -> cr__stats.lst,"Six ability scores define modifier formulas and derived variables that feed Fighter, Human, skills, saves, combat, HP, language, and skill point semantics."
entity_entry,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr__saves.lst#saving-throws,grounded: cr__saves.lst lines 3-6,pilot-critical,SAVE entries; save-to-stat bonus binding,core_rulebook.pcc -> cr__saves.lst,"Fortitude, Reflex, and Will map to CON, DEX, and WIS; Fighter class line supplies base save progression formulas."
entity_entry,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_abilities_race.lst#Human-default-traits,grounded: human_abilities_race.lst lines 10 and 18-23,pilot-critical,Human racial trait objects; ABILITYPOOL; MOVE; AUTO:LANG; TEMPLATE,human/_race.pcc -> human_abilities_race.lst,"Human default trait definitions carry ability-score choice, size, speed, bonus feat, skilled rank, and languages semantics."
entity_entry,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_abilities_globalvar.lst#Human-trait-grant-removal,grounded: human_abilities_globalvar.lst lines 10-24,pilot-critical,Human trait grant/removal modifiers; PREFACT replacement flags,human/_race.pcc -> human_abilities_globalvar.lst,Human racial-trait grant and removal mechanics use replacement flags and PREFACT gates; GE-02 must preserve trait override semantics.
entity_entry,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_templates.lst#Race-Human-template,grounded: human_templates.lst lines 4-18,supporting,TEMPLATE; FACT; RACESUBTYPE,human/_race.pcc -> human_templates.lst,Human template surface sets IsHuman and Human subtype markers; likely supporting identity semantics for race model.
entity_entry,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_equip_arms_armor.lst#armor-shield-proficiency-references,grounded: cr_equip_arms_armor.lst lines 37-48 and 109-114,pilot-critical,EQUIPMENT entries; PROFICIENCY:ARMOR; PROFICIENCY:SHIELD; AC/ACCHECK/MAXDEX/SPELLFAILURE fields,core_rulebook.pcc -> cr_equip_arms_armor.lst,Armor and shield equipment rows link equipment to proficiency catalogs and expose mechanical fields needed by the pilot equipment model.
